order_ID,prod_ID,quantity
4179,668,8
4645,7487,3
3809,3479,5
4359,4807,5
3733,710,3
835,8439,6
583,7685,4
4261,7098,4
6803,1246,2
4020,2958,6
428,5708,10
6791,3154,6
5611,5493,4
849,8672,6
4383,6395,3
846,620,1
6035,4663,1
6522,2078,3
4166,5141,7
2442,2306,9
4330,9253,9
5864,6570,10
4780,6309,5
4455,9403,5
6586,1511,8
1703,3209,6
1688,6872,3
3716,982,9
1048,4533,9
5698,1439,9
1174,7070,1
3813,5296,2
5978,3310,6
1936,8167,7
2272,8636,10
6740,4256,3
2469,5787,10
1327,5372,7
4603,7094,8
2709,5091,6
4867,588,1
4772,2065,5
3760,1199,1
3642,5903,9
4634,9189,10
5112,199,1
6375,6123,8
2698,3204,10
1596,994,2
1219,9018,10
2730,4984,10
5999,7611,1
771,6471,6
2973,399,3
4380,8943,10
1831,6886,5
1297,7255,4
6809,2996,6
1463,5808,10
667,3442,1
108,5515,4
4951,92,6
2558,1609,10
150,8760,2
1575,851,4
2524,2732,6
1003,1822,1
6536,211,5
2326,9794,9
1636,631,7
1469,2522,5
3940,2021,10
1266,5185,9
1989,6353,8
3636,216,5
3487,5206,3
6467,9096,8
231,6903,1
5944,6370,2
46,4399,7
4949,7936,7
829,4681,8
423,6565,5
5637,3129,8
5775,3028,5
470,2747,6
2919,1771,10
742,5068,3
2531,401,7
1894,1187,6
3399,6459,9
5760,3650,7
5154,5547,5
5918,6152,4
940,4731,1
2025,2093,5
1547,7120,2
1352,9381,10
4022,2857,2
5898,5240,1
6478,3333,1
3388,2387,2
4541,4024,2
3157,9576,1
2986,6914,4
4310,4396,9
4965,4564,2
6422,3514,3
5211,9540,2
6617,2258,5
2585,6383,7
6733,9418,3
4971,1156,7
5505,5370,1
4044,9752,5
3830,2036,1
5420,7789,8
6493,1969,10
6145,6836,2
1733,282,1
4791,3194,3
3967,9589,4
2322,4783,6
4618,1409,2
73,1261,8
3090,8592,5
4000,7903,1
2184,8955,3
5096,6841,9
2731,1041,8
831,2861,3
3959,9085,10
4608,2764,5
6626,192,2
2450,6252,4
2563,2743,3
4506,3567,6
2152,6040,1
3720,7557,2
5313,7760,1
3577,7620,9
5852,1735,2
2604,4960,5
705,13,7
6891,7898,9
3762,6848,3
5238,6401,7
909,6573,7
884,4517,4
2047,7496,9
3667,4225,1
4286,3889,8
79,1202,6
6119,5047,2
6299,5360,9
6886,6945,9
5476,1655,2
2976,7274,6
5151,2688,1
3264,5832,5
6479,6880,6
5019,7423,8
1764,5583,8
145,9197,10
4903,196,7
5425,6020,6
1586,8569,3
5627,661,5
4828,3670,2
1578,4508,10
3431,8338,5
6367,1064,6
793,446,9
3529,2633,5
2614,2905,2
3782,1682,2
1467,6895,7
2005,2236,7
2691,1610,9
4812,7829,7
5870,5904,8
3090,1309,5
1478,156,5
4069,7808,1
5608,4190,10
3081,688,3
5207,7665,9
3851,9762,4
1992,264,1
2995,9877,2
680,4162,8
6698,1020,6
4974,8755,2
683,2195,8
6351,1081,8
397,272,3
1845,8050,5
6510,2879,3
3252,9558,3
5807,1277,5
3436,2911,6
4532,9842,7
5149,7834,2
2919,8003,10
732,8862,9
1481,1345,9
6519,3322,3
6161,8143,10
3378,6229,1
3817,2066,4
3054,8209,1
5020,4384,7
6596,4548,2
5233,1844,3
4834,9328,2
1740,5969,10
5806,67,7
1050,5768,10
2391,3601,9
6646,1395,5
1002,625,5
5135,9332,5
4514,7560,6
3554,4787,8
3016,8342,3
1972,430,9
4310,8077,7
2080,5011,8
5337,4816,1
1180,7719,9
5576,7466,9
2196,9227,8
6253,5630,1
556,1847,8
6652,3819,1
2881,7539,8
6891,815,2
1739,6843,8
2670,7037,3
5238,4091,2
5279,8745,10
133,6035,9
5088,5111,2
6494,6275,1
4829,8669,6
6566,2133,4
1759,779,2
1644,419,10
2976,1319,1
6416,2189,3
5436,7110,1
6088,4585,1
803,2999,1
3932,3354,1
2345,5162,10
1349,8546,1
6640,6462,10
6601,8135,5
2806,6838,7
2050,9615,9
6925,9606,10
3336,389,3
3601,6083,5
6962,7196,1
372,3703,4
288,9661,5
4837,6485,6
6400,3096,4
2351,2286,9
4482,8857,7
6291,9354,9
5812,9005,2
3088,3439,9
311,8083,7
4195,5277,10
5473,7330,3
570,4318,6
5632,1954,4
6137,3755,9
4517,893,1
2663,5268,2
3618,5872,5
4854,1674,4
1802,7377,6
1855,8344,3
1822,6584,1
5407,878,1
5760,1993,3
2020,885,1
6849,5195,7
2425,8246,9
1481,9975,4
159,152,4
1595,9237,9
1496,5901,3
3250,796,3
4423,6877,1
1817,6938,7
3618,7672,3
5215,5108,7
5506,5231,2
5418,4407,7
1189,9451,2
2461,6334,8
2131,9694,4
1813,6154,7
6872,197,9
4673,4427,2
2824,6529,6
2581,6564,7
5350,7302,4
1667,1631,5
4299,3044,6
6614,1701,5
4844,1314,10
3663,9922,4
6952,6086,2
3902,1539,1
3557,3510,6
4930,9861,2
298,4856,6
6425,6963,9
6999,6454,7
6314,4958,5
2676,9382,6
6981,3029,6
1233,8622,4
6889,3588,4
2697,7408,7
777,7057,2
6444,6415,10
2380,3863,1
6295,5741,4
3495,998,6
5193,1778,4
4743,5048,7
5449,9482,5
22,981,4
4152,4186,2
3478,6231,10
150,1936,9
4233,3271,6
2357,5611,1
3577,746,7
1250,1986,10
1152,5262,3
6473,3037,10
3683,342,9
4295,1636,3
527,4434,1
3837,3998,5
2388,4650,6
4093,4941,7
3697,8462,2
5195,3736,10
6321,8048,6
1416,862,7
1371,3420,3
6524,9244,2
5029,5895,5
4661,9444,10
2985,354,7
4042,749,9
4857,4947,3
6667,8335,2
2490,2013,1
6824,2914,9
3070,22,1
154,6946,5
649,8997,1
394,3208,2
47,9107,5
2637,5410,8
2936,612,4
5256,1428,4
4255,8853,7
5136,2945,9
4473,1127,2
997,7499,1
3668,650,6
1324,8573,10
745,8673,3
4164,7742,6
1305,3139,8
3342,1436,8
5601,9347,3
6538,782,9
284,9415,9
3022,1228,3
3288,8468,6
1902,9468,1
323,2206,3
3932,1508,3
176,8810,4
3001,9303,9
2183,502,2
6521,7904,9
1563,7292,8
3810,7884,5
4289,6605,3
3637,5893,2
108,2497,5
2008,54,7
4111,2859,6
17,9111,2
213,1467,1
6228,5086,3
234,2429,2
597,8273,4
1866,7294,1
2685,3569,2
2414,6726,9
5338,2615,2
492,7484,2
1998,647,4
2292,1377,4
6857,2485,2
1479,8509,9
6676,9411,1
3736,6196,2
1476,6724,10
6259,712,6
628,7832,10
6464,1520,1
2811,7417,10
2987,8836,4
860,1525,8
799,3916,2
993,9800,10
2958,1217,3
5330,6718,6
6053,7296,2
619,8393,10
1088,3660,6
4905,9459,5
2399,9910,10
2750,3268,10
5464,7814,5
2573,6444,1
1549,6722,8
5846,176,8
4994,6070,4
1086,2899,1
704,7552,3
1825,4004,2
5772,7299,7
5258,3875,7
3761,5881,9
5604,2636,4
5989,3161,7
2964,1770,1
3775,7010,1
1288,4358,7
3109,5446,7
3377,210,9
4085,8309,2
3281,5643,2
2328,810,3
6390,9063,10
532,1977,5
2541,7792,10
5041,3590,7
599,5477,1
1523,2946,5
3236,8483,1
509,4123,1
6578,8664,10
895,3849,3
828,6380,6
123,7947,8
3510,4574,7
1728,5063,3
5490,4775,3
4771,6997,8
1886,4948,2
3471,8947,3
5075,3777,8
6740,6889,10
1142,644,3
3980,8016,6
3306,4899,1
3229,1605,9
3538,1100,6
673,8414,3
6985,3291,7
6653,3882,2
1772,6095,8
6020,4602,9
4673,1383,3
4534,6547,2
212,6207,6
4486,1747,9
640,3156,10
4720,3026,3
4607,85,1
6421,698,1
3602,5779,6
649,6610,3
183,80,6
5915,4562,2
6627,8960,3
306,8762,10
3359,8882,4
3460,2348,2
2440,5174,10
1928,6046,4
6248,23,4
2077,7664,9
6166,944,5
1246,8070,2
5236,5544,4
298,9097,10
4165,215,3
5249,7858,3
4608,5099,4
4000,7530,2
5070,7732,9
4250,9645,8
1110,9622,7
1673,7001,9
154,5581,7
5792,9272,3
3546,8272,8
6010,4414,9
3699,4282,3
4848,485,10
4640,7979,3
4988,2039,1
3230,6901,6
4279,7529,5
576,8415,9
1450,1582,2
4167,1221,1
1080,8023,6
2593,3421,4
3674,9512,8
2759,5329,8
2373,2786,6
1352,3487,10
6473,5781,6
6690,5602,10
4807,2793,5
3128,1371,6
2731,4584,8
6786,3545,3
5849,5672,9
1957,880,6
3424,6737,5
156,2666,3
672,4976,1
5022,4588,8
5658,4083,9
2984,101,8
53,3069,3
2831,731,4
5955,8331,10
5268,8185,10
402,8407,2
4196,8797,1
4221,8292,4
1951,9329,4
2450,5687,2
6960,868,7
2355,9027,6
5468,109,8
6719,8068,9
2198,6214,6
1197,562,3
1211,9339,6
6420,5058,10
1151,6439,6
1030,9754,5
642,596,1
3226,4120,8
6564,8740,5
1302,5210,2
5821,7118,8
6182,6731,5
4929,4590,2
3546,1984,9
3681,6122,2
4675,617,8
5708,4430,1
1212,1057,7
5975,7512,4
5174,3375,1
6569,8913,9
3243,2222,5
6,1118,3
280,7815,1
1330,7200,7
6792,9180,8
2034,2820,9
5692,9429,4
3061,9145,9
2176,1852,4
4442,886,10
5873,9271,10
3484,3693,1
3346,4457,7
1893,7030,1
1,8373,9
5131,4203,10
4213,7673,8
827,488,1
4067,7228,9
605,8922,2
599,3341,7
3446,604,2
3276,4986,10
4601,4993,6
6606,7264,1
3840,2906,8
1270,3049,9
2950,6388,5
6744,727,7
1691,3675,7
3810,7956,10
207,2268,2
4354,913,4
6928,9562,1
68,9844,3
5516,578,4
875,3708,7
6297,1269,3
1721,3518,1
1022,4600,10
6429,6171,7
3357,4205,2
3689,14,2
2441,1474,4
3166,2251,9
4881,2975,9
6043,1562,8
1330,5253,7
1204,894,5
4490,1966,9
6399,1999,6
842,2527,9
2598,145,7
179,9064,6
3493,3726,5
3893,6458,10
2399,2966,2
6431,4259,6
5905,7368,7
5872,2132,5
3314,3218,6
5292,9011,2
6535,1751,3
6203,3885,2
1503,4041,8
442,5459,6
5566,3301,6
1881,7378,6
3273,3036,6
2533,1394,4
5323,8959,5
580,1933,2
2700,1191,5
1224,5503,8
1354,4691,4
3091,2824,9
6863,7424,6
5171,7163,5
1383,996,1
3355,8976,7
1670,3362,5
4066,5345,10
3175,1107,3
1705,7699,10
1722,2721,4
2483,7234,6
4088,4116,7
944,9912,6
6142,2537,5
1281,6849,10
6461,8950,5
4310,4111,5
1739,814,7
6188,7523,8
6208,6704,5
1185,469,5
1315,5730,7
4092,416,9
5037,871,5
5209,3098,3
2664,9099,1
1520,5289,1
2846,1089,1
5533,7233,10
213,718,3
2915,3746,1
230,6805,4
6947,9044,9
36,4926,5
1463,138,9
4613,7810,4
1378,6467,1
1879,1768,6
2642,8783,6
5028,3921,1
4054,2190,8
4135,7122,5
4051,2152,4
3698,5942,5
5122,7571,6
3284,5081,10
1212,4382,7
3944,595,1
3044,856,4
2993,6649,10
2171,980,1
477,2123,6
3346,406,10
1282,949,1
3729,4668,2
1953,6348,3
1764,9401,4
3271,8764,10
2233,1988,3
1346,4643,7
4370,1325,7
1795,5155,4
1763,7092,1
1339,8420,5
3456,7772,6
611,5920,7
4420,335,5
1008,6823,2
6724,3132,4
666,8657,2
3532,470,10
5683,2530,8
4125,3422,8
836,7572,7
2452,6902,3
3777,4383,6
6924,3205,1
2837,8310,7
3204,7791,6
5365,6887,4
6199,6776,7
3935,4273,1
2639,6113,5
4247,8990,2
4488,7215,4
3191,3243,7
727,4160,9
4733,4653,2
2132,8451,7
5975,6119,9
6494,6478,10
1802,8493,8
5973,9224,4
3198,5045,2
3811,2269,2
4352,7044,3
909,8938,3
436,6701,3
348,6417,5
5319,9368,5
2147,9807,8
5641,5279,7
830,4348,3
716,4152,4
17,4065,9
4807,7469,8
5831,6746,2
1497,975,10
2168,8397,1
4611,9927,9
2857,5002,2
4352,9101,1
6127,4677,9
5172,6018,6
2648,9683,5
3664,1275,10
3760,7067,3
5562,9791,5
1284,8240,5
6390,6875,7
4809,3700,10
5043,2003,4
3459,7342,3
3332,3868,10
6500,8403,10
3962,2297,9
6827,8421,3
1791,2292,10
6094,5657,4
2452,6505,5
6650,1006,3
509,6177,1
3057,2854,1
263,640,6
6034,3491,2
6161,9617,8
5499,7777,10
6877,7564,8
138,8818,3
5577,9222,2
2603,6892,3
6143,6684,10
3412,690,4
2183,1545,6
1183,3981,9
1511,5225,4
1132,8961,8
5569,2872,2
2194,6524,1
4072,527,8
1824,3971,3
1020,6782,4
1479,132,9
4806,7498,1
3842,6314,2
6211,139,10
4543,8935,4
4837,6861,10
6225,439,9
6937,5474,8
5311,1975,9
4564,6742,9
5965,2434,2
2537,577,6
3965,3470,2
3934,1639,2
6668,2652,1
1762,652,1
13,1370,10
1950,4867,7
4186,1098,8
737,5050,3
3237,2834,9
5733,6956,2
1941,1880,6
5606,1881,1
334,3631,4
5858,3149,9
1426,8252,8
2238,6298,7
1307,4934,7
4860,269,7
83,7379,9
6041,1834,1
47,1732,4
449,384,2
6210,2714,6
6847,4567,4
3471,8287,2
516,3520,8
1005,1772,1
4190,5722,5
6494,5801,3
4089,4544,8
23,7715,3
1770,9506,10
5390,7488,9
2509,3050,5
5,5003,10
3481,7015,10
6700,6220,8
1899,5419,3
1246,6984,3
6919,4761,1
3625,70,8
1862,9407,7
4164,9520,4
4776,5033,6
6670,6453,4
367,7917,9
1238,4537,1
846,3775,2
4135,3824,4
626,2071,2
2178,6140,5
6256,5332,4
1622,185,10
4729,2650,6
5140,7156,10
1095,2922,2
5859,8811,3
2183,4979,1
2427,5160,2
5596,4621,1
3089,8618,7
5667,4189,7
3608,2103,8
5384,9884,6
6652,7411,10
883,2074,4
2018,1948,7
837,2399,5
2243,6499,10
515,4124,10
1575,1774,4
86,5146,8
6490,2203,7
3955,8906,3
2762,8815,3
2781,5136,10
2981,2745,9
169,5312,7
2617,5479,6
2186,6611,5
950,2890,9
6981,3137,3
2992,7343,7
5595,1935,8
6261,7638,3
1193,9232,5
3255,9973,10
6668,8412,10
1382,1848,2
4148,462,8
6630,3958,1
4157,912,9
6021,6344,7
807,3855,1
4918,1249,8
4319,6898,10
3402,9105,2
2063,9469,4
4119,3308,5
5615,8668,9
1342,3213,10
5320,8366,6
6704,4499,7
4814,8694,5
2321,1956,7
2824,6211,7
1991,3072,4
1840,7476,4
6071,4125,2
1466,7929,7
6928,659,5
5139,8604,7
2700,6869,2
3435,9143,5
1535,9881,3
5937,3627,4
6321,4063,7
4141,518,2
2730,6638,6
5707,2364,8
4307,2631,5
6908,6058,6
4868,6528,7
2346,5820,1
4343,6687,10
6374,2337,8
5912,7088,3
2749,2651,9
4599,3605,3
1668,4485,9
6825,4373,5
1643,4700,7
5618,7261,10
268,9697,4
560,4009,8
2292,3121,1
4961,2389,3
1897,6190,7
3887,5039,8
1926,8629,1
4660,9195,5
6869,6964,2
4950,1252,10
4430,829,8
3432,6790,7
3110,4780,8
2067,8759,9
6502,597,6
5857,1746,10
5937,7000,9
5431,1002,6
2633,8379,7
4776,6139,3
4630,17,3
3314,1114,7
1152,7569,6
5940,3552,6
1077,1382,8
3132,9260,2
6371,1186,8
1322,2040,9
1555,2022,8
4809,929,9
1601,4056,4
1610,3273,7
6740,8301,5
6640,2342,6
3564,6717,5
2379,9916,2
6399,9151,9
5035,3247,10
3454,3975,6
2966,3502,5
3145,5219,8
6912,1714,1
456,6576,8
976,3519,8
2015,8623,8
6658,5597,7
3984,9420,2
5463,276,5
735,3060,2
2337,7125,3
3946,9104,9
544,4084,1
3,7211,3
2036,5773,6
4061,6062,9
4428,6933,4
5795,3611,5
6645,606,10
4289,9825,4
2604,2555,4
3044,2141,8
6018,3772,3
5526,6029,9
2059,6434,3
6005,458,8
6483,7169,8
2319,5987,10
2543,4524,4
410,709,5
3767,8782,1
4417,6851,4
5279,898,10
