cust_ID,order_date,payment_type,payment_date
1197,2023-06-07T10:26:09.227,bank transfer,2023-06-08T10:26:09.227
600,2023-06-07T10:40:15.227,debit card,2023-06-08T10:40:15.227
3276,2023-06-07T10:54:21.227,bank transfer,2023-06-08T10:54:21.227
4662,2023-06-07T11:08:27.227,bank transfer,2023-06-08T11:08:27.227
4872,2023-06-07T11:22:33.227,bank transfer,2023-06-08T11:22:33.227
888,2023-06-07T11:36:39.227,debit card,2023-06-08T11:36:39.227
5163,2023-06-07T11:50:45.227,debit card,2023-06-08T11:50:45.227
768,2023-06-07T12:04:51.227,bank transfer,2023-06-08T12:04:51.227
417,2023-06-07T12:18:57.227,cash,2023-06-08T12:18:57.227
3990,2023-06-07T12:33:03.227,bank transfer,2023-06-08T12:33:03.227
4989,2023-06-07T12:47:09.227,debit card,2023-06-08T12:47:09.227
2058,2023-06-07T13:01:15.227,cash,2023-06-08T13:01:15.227
6810,2023-06-07T13:15:21.227,debit card,2023-06-08T13:15:21.227
426,2023-06-07T13:29:27.227,debit card,2023-06-08T13:29:27.227
6723,2023-06-07T13:43:33.227,credit card,2023-06-08T13:43:33.227
3744,2023-06-07T13:57:39.227,cash,2023-06-08T13:57:39.227
3831,2023-06-07T14:11:45.227,debit card,2023-06-08T14:11:45.227
963,2023-06-07T14:25:51.227,credit card,2023-06-08T14:25:51.227
678,2023-06-07T14:39:57.227,debit card,2023-06-08T14:39:57.227
3255,2023-06-07T14:54:03.227,credit card,2023-06-08T14:54:03.227
5679,2023-06-07T15:08:09.227,credit card,2023-06-08T15:08:09.227
5094,2023-06-07T15:22:15.227,credit card,2023-06-08T15:22:15.227
927,2023-06-07T15:36:21.227,bank transfer,2023-06-08T15:36:21.227
6120,2023-06-07T15:50:27.227,cash,2023-06-08T15:50:27.227
6438,2023-06-07T16:04:33.227,debit card,2023-06-08T16:04:33.227
3378,2023-06-07T16:18:39.227,bank transfer,2023-06-08T16:18:39.227
6342,2023-06-07T16:32:45.227,cash,2023-06-08T16:32:45.227
1101,2023-06-07T16:46:51.227,credit card,2023-06-08T16:46:51.227
6441,2023-06-07T17:00:57.227,cash,2023-06-08T17:00:57.227
3072,2023-06-07T17:15:03.227,bank transfer,2023-06-08T17:15:03.227
3621,2023-06-07T17:29:09.227,credit card,2023-06-08T17:29:09.227
1338,2023-06-07T17:43:15.227,bank transfer,2023-06-08T17:43:15.227
2493,2023-06-07T17:57:21.227,cash,2023-06-08T17:57:21.227
2313,2023-06-07T18:11:27.227,credit card,2023-06-08T18:11:27.227
2025,2023-06-07T18:25:33.227,cash,2023-06-08T18:25:33.227
2913,2023-06-07T18:39:39.227,cash,2023-06-08T18:39:39.227
1806,2023-06-07T18:53:45.227,cash,2023-06-08T18:53:45.227
3750,2023-06-07T19:07:51.227,credit card,2023-06-08T19:07:51.227
1437,2023-06-07T19:21:57.227,debit card,2023-06-08T19:21:57.227
5820,2023-06-07T19:36:03.227,credit card,2023-06-08T19:36:03.227
5370,2023-06-07T19:50:09.227,cash,2023-06-08T19:50:09.227
6798,2023-06-07T20:04:15.227,credit card,2023-06-08T20:04:15.227
4326,2023-06-07T20:18:21.227,debit card,2023-06-08T20:18:21.227
1209,2023-06-07T20:32:27.227,credit card,2023-06-08T20:32:27.227
84,2023-06-07T20:46:33.227,cash,2023-06-08T20:46:33.227
1350,2023-06-07T21:00:39.227,credit card,2023-06-08T21:00:39.227
4740,2023-06-07T21:14:45.227,debit card,2023-06-08T21:14:45.227
1887,2023-06-07T21:28:51.227,debit card,2023-06-08T21:28:51.227
1449,2023-06-07T21:42:57.227,credit card,2023-06-08T21:42:57.227
2328,2023-06-07T21:57:03.227,debit card,2023-06-08T21:57:03.227
3996,2023-06-07T22:11:09.227,debit card,2023-06-08T22:11:09.227
6927,2023-06-07T22:25:15.227,cash,2023-06-08T22:25:15.227
846,2023-06-07T22:39:21.227,cash,2023-06-08T22:39:21.227
270,2023-06-07T22:53:27.227,credit card,2023-06-08T22:53:27.227
4971,2023-06-07T23:07:33.227,credit card,2023-06-08T23:07:33.227
3810,2023-06-07T23:21:39.227,debit card,2023-06-08T23:21:39.227
2547,2023-06-07T23:35:45.227,bank transfer,2023-06-08T23:35:45.227
4620,2023-06-07T23:49:51.227,credit card,2023-06-08T23:49:51.227
3741,2023-06-08T00:03:57.227,cash,2023-06-09T00:03:57.227
1005,2023-06-08T00:18:03.227,cash,2023-06-09T00:18:03.227
4947,2023-06-08T00:32:09.227,debit card,2023-06-09T00:32:09.227
3132,2023-06-08T00:46:15.227,cash,2023-06-09T00:46:15.227
1299,2023-06-08T01:00:21.227,debit card,2023-06-09T01:00:21.227
4824,2023-06-08T01:14:27.227,cash,2023-06-09T01:14:27.227
4359,2023-06-08T01:28:33.227,bank transfer,2023-06-09T01:28:33.227
3762,2023-06-08T01:42:39.227,debit card,2023-06-09T01:42:39.227
6357,2023-06-08T01:56:45.227,cash,2023-06-09T01:56:45.227
3912,2023-06-08T02:10:51.227,credit card,2023-06-09T02:10:51.227
1626,2023-06-08T02:24:57.227,bank transfer,2023-06-09T02:24:57.227
3189,2023-06-08T02:39:03.227,credit card,2023-06-09T02:39:03.227
5895,2023-06-08T02:53:09.227,debit card,2023-06-09T02:53:09.227
6522,2023-06-08T03:07:15.227,credit card,2023-06-09T03:07:15.227
243,2023-06-08T03:21:21.227,cash,2023-06-09T03:21:21.227
5880,2023-06-08T03:35:27.227,bank transfer,2023-06-09T03:35:27.227
2799,2023-06-08T03:49:33.227,credit card,2023-06-09T03:49:33.227
1680,2023-06-08T04:03:39.227,debit card,2023-06-09T04:03:39.227
6240,2023-06-08T04:17:45.227,bank transfer,2023-06-09T04:17:45.227
2796,2023-06-08T04:31:51.227,debit card,2023-06-09T04:31:51.227
207,2023-06-08T04:45:57.227,credit card,2023-06-09T04:45:57.227
3564,2023-06-08T05:00:03.227,cash,2023-06-09T05:00:03.227
1122,2023-06-08T05:14:09.227,cash,2023-06-09T05:14:09.227
2004,2023-06-08T05:28:15.227,bank transfer,2023-06-09T05:28:15.227
3696,2023-06-08T05:42:21.227,credit card,2023-06-09T05:42:21.227
1944,2023-06-08T05:56:27.227,bank transfer,2023-06-09T05:56:27.227
861,2023-06-08T06:10:33.227,debit card,2023-06-09T06:10:33.227
2034,2023-06-08T06:24:39.227,cash,2023-06-09T06:24:39.227
3579,2023-06-08T06:38:45.227,debit card,2023-06-09T06:38:45.227
6216,2023-06-08T06:52:51.227,debit card,2023-06-09T06:52:51.227
3072,2023-06-08T07:06:57.227,cash,2023-06-09T07:06:57.227
5394,2023-06-08T07:21:03.227,credit card,2023-06-09T07:21:03.227
4203,2023-06-08T07:35:09.227,cash,2023-06-09T07:35:09.227
5307,2023-06-08T07:49:15.227,credit card,2023-06-09T07:49:15.227
567,2023-06-08T08:03:21.227,debit card,2023-06-09T08:03:21.227
5238,2023-06-08T08:17:27.227,cash,2023-06-09T08:17:27.227
5373,2023-06-08T08:31:33.227,credit card,2023-06-09T08:31:33.227
105,2023-06-08T08:45:39.227,bank transfer,2023-06-09T08:45:39.227
5379,2023-06-08T08:59:45.227,credit card,2023-06-09T08:59:45.227
3369,2023-06-08T09:13:51.227,bank transfer,2023-06-09T09:13:51.227
672,2023-06-08T09:27:57.227,cash,2023-06-09T09:27:57.227
4197,2023-06-08T09:42:03.227,credit card,2023-06-09T09:42:03.227
4644,2023-06-08T09:56:09.227,cash,2023-06-09T09:56:09.227
741,2023-06-08T10:10:15.227,credit card,2023-06-09T10:10:15.227
3018,2023-06-08T10:24:21.227,bank transfer,2023-06-09T10:24:21.227
2733,2023-06-08T10:38:27.227,debit card,2023-06-09T10:38:27.227
2655,2023-06-08T10:52:33.227,credit card,2023-06-09T10:52:33.227
2691,2023-06-08T11:06:39.227,bank transfer,2023-06-09T11:06:39.227
6528,2023-06-08T11:20:45.227,bank transfer,2023-06-09T11:20:45.227
6276,2023-06-08T11:34:51.227,credit card,2023-06-09T11:34:51.227
2196,2023-06-08T11:48:57.227,debit card,2023-06-09T11:48:57.227
4650,2023-06-08T12:03:03.227,debit card,2023-06-09T12:03:03.227
4017,2023-06-08T12:17:09.227,debit card,2023-06-09T12:17:09.227
3795,2023-06-08T12:31:15.227,debit card,2023-06-09T12:31:15.227
1410,2023-06-08T12:45:21.227,debit card,2023-06-09T12:45:21.227
2418,2023-06-08T12:59:27.227,debit card,2023-06-09T12:59:27.227
6612,2023-06-08T13:13:33.227,cash,2023-06-09T13:13:33.227
4671,2023-06-08T13:27:39.227,debit card,2023-06-09T13:27:39.227
6066,2023-06-08T13:41:45.227,cash,2023-06-09T13:41:45.227
2988,2023-06-08T13:55:51.227,debit card,2023-06-09T13:55:51.227
6891,2023-06-08T14:09:57.227,credit card,2023-06-09T14:09:57.227
6468,2023-06-08T14:24:03.227,credit card,2023-06-09T14:24:03.227
1692,2023-06-08T14:38:09.227,debit card,2023-06-09T14:38:09.227
3882,2023-06-08T14:52:15.227,debit card,2023-06-09T14:52:15.227
5241,2023-06-08T15:06:21.227,debit card,2023-06-09T15:06:21.227
5919,2023-06-08T15:20:27.227,credit card,2023-06-09T15:20:27.227
192,2023-06-08T15:34:33.227,debit card,2023-06-09T15:34:33.227
2907,2023-06-08T15:48:39.227,bank transfer,2023-06-09T15:48:39.227
2799,2023-06-08T16:02:45.227,cash,2023-06-09T16:02:45.227
1068,2023-06-08T16:16:51.227,credit card,2023-06-09T16:16:51.227
2289,2023-06-08T16:30:57.227,credit card,2023-06-09T16:30:57.227
939,2023-06-08T16:45:03.227,debit card,2023-06-09T16:45:03.227
2196,2023-06-08T16:59:09.227,cash,2023-06-09T16:59:09.227
6144,2023-06-08T17:13:15.227,bank transfer,2023-06-09T17:13:15.227
6432,2023-06-08T17:27:21.227,credit card,2023-06-09T17:27:21.227
1422,2023-06-08T17:41:27.227,cash,2023-06-09T17:41:27.227
2598,2023-06-08T17:55:33.227,cash,2023-06-09T17:55:33.227
3390,2023-06-08T18:09:39.227,credit card,2023-06-09T18:09:39.227
2862,2023-06-08T18:23:45.227,debit card,2023-06-09T18:23:45.227
5814,2023-06-08T18:37:51.227,bank transfer,2023-06-09T18:37:51.227
1686,2023-06-08T18:51:57.227,debit card,2023-06-09T18:51:57.227
4035,2023-06-08T19:06:03.227,debit card,2023-06-09T19:06:03.227
6681,2023-06-08T19:20:09.227,cash,2023-06-09T19:20:09.227
4317,2023-06-08T19:34:15.227,debit card,2023-06-09T19:34:15.227
4785,2023-06-08T19:48:21.227,credit card,2023-06-09T19:48:21.227
2115,2023-06-08T20:02:27.227,bank transfer,2023-06-09T20:02:27.227
2697,2023-06-08T20:16:33.227,bank transfer,2023-06-09T20:16:33.227
951,2023-06-08T20:30:39.227,credit card,2023-06-09T20:30:39.227
5748,2023-06-08T20:44:45.227,credit card,2023-06-09T20:44:45.227
3060,2023-06-08T20:58:51.227,credit card,2023-06-09T20:58:51.227
4161,2023-06-08T21:12:57.227,debit card,2023-06-09T21:12:57.227
5205,2023-06-08T21:27:03.227,bank transfer,2023-06-09T21:27:03.227
6051,2023-06-08T21:41:09.227,debit card,2023-06-09T21:41:09.227
2904,2023-06-08T21:55:15.227,cash,2023-06-09T21:55:15.227
5583,2023-06-08T22:09:21.227,credit card,2023-06-09T22:09:21.227
6234,2023-06-08T22:23:27.227,cash,2023-06-09T22:23:27.227
12,2023-06-08T22:37:33.227,credit card,2023-06-09T22:37:33.227
951,2023-06-08T22:51:39.227,bank transfer,2023-06-09T22:51:39.227
1845,2023-06-08T23:05:45.227,bank transfer,2023-06-09T23:05:45.227
4311,2023-06-08T23:19:51.227,debit card,2023-06-09T23:19:51.227
3246,2023-06-08T23:33:57.227,credit card,2023-06-09T23:33:57.227
2370,2023-06-08T23:48:03.227,credit card,2023-06-09T23:48:03.227
6255,2023-06-09T00:02:09.227,cash,2023-06-10T00:02:09.227
1590,2023-06-09T00:16:15.227,credit card,2023-06-10T00:16:15.227
6021,2023-06-09T00:30:21.227,credit card,2023-06-10T00:30:21.227
5034,2023-06-09T00:44:27.227,cash,2023-06-10T00:44:27.227
5826,2023-06-09T00:58:33.227,credit card,2023-06-10T00:58:33.227
2091,2023-06-09T01:12:39.227,credit card,2023-06-10T01:12:39.227
3816,2023-06-09T01:26:45.227,credit card,2023-06-10T01:26:45.227
4554,2023-06-09T01:40:51.227,bank transfer,2023-06-10T01:40:51.227
4626,2023-06-09T01:54:57.227,credit card,2023-06-10T01:54:57.227
4140,2023-06-09T02:09:03.227,cash,2023-06-10T02:09:03.227
2145,2023-06-09T02:23:09.227,debit card,2023-06-10T02:23:09.227
765,2023-06-09T02:37:15.227,cash,2023-06-10T02:37:15.227
2937,2023-06-09T02:51:21.227,debit card,2023-06-10T02:51:21.227
2556,2023-06-09T03:05:27.227,cash,2023-06-10T03:05:27.227
6606,2023-06-09T03:19:33.227,cash,2023-06-10T03:19:33.227
5241,2023-06-09T03:33:39.227,credit card,2023-06-10T03:33:39.227
351,2023-06-09T03:47:45.227,debit card,2023-06-10T03:47:45.227
1977,2023-06-09T04:01:51.227,credit card,2023-06-10T04:01:51.227
1197,2023-06-09T04:15:57.227,cash,2023-06-10T04:15:57.227
6126,2023-06-09T04:30:03.227,credit card,2023-06-10T04:30:03.227
1581,2023-06-09T04:44:09.227,bank transfer,2023-06-10T04:44:09.227
3123,2023-06-09T04:58:15.227,credit card,2023-06-10T04:58:15.227
2100,2023-06-09T05:12:21.227,bank transfer,2023-06-10T05:12:21.227
2580,2023-06-09T05:26:27.227,cash,2023-06-10T05:26:27.227
5511,2023-06-09T05:40:33.227,cash,2023-06-10T05:40:33.227
735,2023-06-09T05:54:39.227,cash,2023-06-10T05:54:39.227
5778,2023-06-09T06:08:45.227,debit card,2023-06-10T06:08:45.227
4581,2023-06-09T06:22:51.227,cash,2023-06-10T06:22:51.227
1755,2023-06-09T06:36:57.227,cash,2023-06-10T06:36:57.227
5331,2023-06-09T06:51:03.227,bank transfer,2023-06-10T06:51:03.227
3672,2023-06-09T07:05:09.227,bank transfer,2023-06-10T07:05:09.227
1647,2023-06-09T07:19:15.227,bank transfer,2023-06-10T07:19:15.227
2217,2023-06-09T07:33:21.227,bank transfer,2023-06-10T07:33:21.227
2850,2023-06-09T07:47:27.227,credit card,2023-06-10T07:47:27.227
6375,2023-06-09T08:01:33.227,bank transfer,2023-06-10T08:01:33.227
1278,2023-06-09T08:15:39.227,credit card,2023-06-10T08:15:39.227
1686,2023-06-09T08:29:45.227,credit card,2023-06-10T08:29:45.227
5784,2023-06-09T08:43:51.227,debit card,2023-06-10T08:43:51.227
2451,2023-06-09T08:57:57.227,credit card,2023-06-10T08:57:57.227
6234,2023-06-09T09:12:03.227,cash,2023-06-10T09:12:03.227
1629,2023-06-09T09:26:09.227,credit card,2023-06-10T09:26:09.227
4224,2023-06-09T09:40:15.227,cash,2023-06-10T09:40:15.227
504,2023-06-09T09:54:21.227,cash,2023-06-10T09:54:21.227
4746,2023-06-09T10:08:27.227,bank transfer,2023-06-10T10:08:27.227
2763,2023-06-09T10:22:33.227,bank transfer,2023-06-10T10:22:33.227
1794,2023-06-09T10:36:39.227,bank transfer,2023-06-10T10:36:39.227
1770,2023-06-09T10:50:45.227,debit card,2023-06-10T10:50:45.227
6159,2023-06-09T11:04:51.227,credit card,2023-06-10T11:04:51.227
2943,2023-06-09T11:18:57.227,cash,2023-06-10T11:18:57.227
6555,2023-06-09T11:33:03.227,bank transfer,2023-06-10T11:33:03.227
5646,2023-06-09T11:47:09.227,cash,2023-06-10T11:47:09.227
2160,2023-06-09T12:01:15.227,credit card,2023-06-10T12:01:15.227
93,2023-06-09T12:15:21.227,bank transfer,2023-06-10T12:15:21.227
2529,2023-06-09T12:29:27.227,bank transfer,2023-06-10T12:29:27.227
4272,2023-06-09T12:43:33.227,cash,2023-06-10T12:43:33.227
210,2023-06-09T12:57:39.227,bank transfer,2023-06-10T12:57:39.227
4584,2023-06-09T13:11:45.227,credit card,2023-06-10T13:11:45.227
1686,2023-06-09T13:25:51.227,credit card,2023-06-10T13:25:51.227
4653,2023-06-09T13:39:57.227,credit card,2023-06-10T13:39:57.227
585,2023-06-09T13:54:03.227,credit card,2023-06-10T13:54:03.227
1752,2023-06-09T14:08:09.227,cash,2023-06-10T14:08:09.227
684,2023-06-09T14:22:15.227,cash,2023-06-10T14:22:15.227
4470,2023-06-09T14:36:21.227,credit card,2023-06-10T14:36:21.227
1713,2023-06-09T14:50:27.227,credit card,2023-06-10T14:50:27.227
5202,2023-06-09T15:04:33.227,debit card,2023-06-10T15:04:33.227
6201,2023-06-09T15:18:39.227,credit card,2023-06-10T15:18:39.227
6225,2023-06-09T15:32:45.227,bank transfer,2023-06-10T15:32:45.227
3720,2023-06-09T15:46:51.227,cash,2023-06-10T15:46:51.227
4758,2023-06-09T16:00:57.227,credit card,2023-06-10T16:00:57.227
1986,2023-06-09T16:15:03.227,cash,2023-06-10T16:15:03.227
5196,2023-06-09T16:29:09.227,cash,2023-06-10T16:29:09.227
6471,2023-06-09T16:43:15.227,bank transfer,2023-06-10T16:43:15.227
3753,2023-06-09T16:57:21.227,cash,2023-06-10T16:57:21.227
5685,2023-06-09T17:11:27.227,debit card,2023-06-10T17:11:27.227
2238,2023-06-09T17:25:33.227,debit card,2023-06-10T17:25:33.227
3393,2023-06-09T17:39:39.227,cash,2023-06-10T17:39:39.227
972,2023-06-09T17:53:45.227,credit card,2023-06-10T17:53:45.227
333,2023-06-09T18:07:51.227,bank transfer,2023-06-10T18:07:51.227
1686,2023-06-09T18:21:57.227,bank transfer,2023-06-10T18:21:57.227
813,2023-06-09T18:36:03.227,bank transfer,2023-06-10T18:36:03.227
2709,2023-06-09T18:50:09.227,bank transfer,2023-06-10T18:50:09.227
6162,2023-06-09T19:04:15.227,credit card,2023-06-10T19:04:15.227
774,2023-06-09T19:18:21.227,debit card,2023-06-10T19:18:21.227
465,2023-06-09T19:32:27.227,debit card,2023-06-10T19:32:27.227
2871,2023-06-09T19:46:33.227,debit card,2023-06-10T19:46:33.227
2643,2023-06-09T20:00:39.227,debit card,2023-06-10T20:00:39.227
5883,2023-06-09T20:14:45.227,cash,2023-06-10T20:14:45.227
4392,2023-06-09T20:28:51.227,bank transfer,2023-06-10T20:28:51.227
4797,2023-06-09T20:42:57.227,bank transfer,2023-06-10T20:42:57.227
6825,2023-06-09T20:57:03.227,debit card,2023-06-10T20:57:03.227
6768,2023-06-09T21:11:09.227,cash,2023-06-10T21:11:09.227
2580,2023-06-09T21:25:15.227,credit card,2023-06-10T21:25:15.227
4764,2023-06-09T21:39:21.227,cash,2023-06-10T21:39:21.227
3450,2023-06-09T21:53:27.227,bank transfer,2023-06-10T21:53:27.227
4536,2023-06-09T22:07:33.227,cash,2023-06-10T22:07:33.227
4209,2023-06-09T22:21:39.227,credit card,2023-06-10T22:21:39.227
6945,2023-06-09T22:35:45.227,credit card,2023-06-10T22:35:45.227
3582,2023-06-09T22:49:51.227,bank transfer,2023-06-10T22:49:51.227
231,2023-06-09T23:03:57.227,credit card,2023-06-10T23:03:57.227
1026,2023-06-09T23:18:03.227,bank transfer,2023-06-10T23:18:03.227
6462,2023-06-09T23:32:09.227,credit card,2023-06-10T23:32:09.227
6837,2023-06-09T23:46:15.227,bank transfer,2023-06-10T23:46:15.227
2349,2023-06-10T00:00:21.227,credit card,2023-06-11T00:00:21.227
4902,2023-06-10T00:14:27.227,cash,2023-06-11T00:14:27.227
5076,2023-06-10T00:28:33.227,debit card,2023-06-11T00:28:33.227
4317,2023-06-10T00:42:39.227,credit card,2023-06-11T00:42:39.227
2148,2023-06-10T00:56:45.227,credit card,2023-06-11T00:56:45.227
2613,2023-06-10T01:10:51.227,bank transfer,2023-06-11T01:10:51.227
4110,2023-06-10T01:24:57.227,cash,2023-06-11T01:24:57.227
2988,2023-06-10T01:39:03.227,cash,2023-06-11T01:39:03.227
6696,2023-06-10T01:53:09.227,debit card,2023-06-11T01:53:09.227
1413,2023-06-10T02:07:15.227,bank transfer,2023-06-11T02:07:15.227
4698,2023-06-10T02:21:21.227,debit card,2023-06-11T02:21:21.227
5487,2023-06-10T02:35:27.227,bank transfer,2023-06-11T02:35:27.227
2295,2023-06-10T02:49:33.227,debit card,2023-06-11T02:49:33.227
1290,2023-06-10T03:03:39.227,debit card,2023-06-11T03:03:39.227
3087,2023-06-10T03:17:45.227,debit card,2023-06-11T03:17:45.227
3249,2023-06-10T03:31:51.227,credit card,2023-06-11T03:31:51.227
582,2023-06-10T03:45:57.227,credit card,2023-06-11T03:45:57.227
1035,2023-06-10T04:00:03.227,credit card,2023-06-11T04:00:03.227
3513,2023-06-10T04:14:09.227,credit card,2023-06-11T04:14:09.227
1425,2023-06-10T04:28:15.227,cash,2023-06-11T04:28:15.227
2373,2023-06-10T04:42:21.227,debit card,2023-06-11T04:42:21.227
4911,2023-06-10T04:56:27.227,cash,2023-06-11T04:56:27.227
4905,2023-06-10T05:10:33.227,credit card,2023-06-11T05:10:33.227
1341,2023-06-10T05:24:39.227,bank transfer,2023-06-11T05:24:39.227
2865,2023-06-10T05:38:45.227,credit card,2023-06-11T05:38:45.227
4827,2023-06-10T05:52:51.227,debit card,2023-06-11T05:52:51.227
